Screen_Name,Tweet_Id,Answer_Date
botdopalmeiras,1316934970238263299,2020-10-19 22:08:49.599877
botdopalmeiras,1316932534979186689,2020-10-19 22:09:04.616363
botdopalmeiras,1316931788137181185,2020-10-19 22:09:19.623368
botdopalmeiras,1316931491117629441,2020-10-19 22:09:34.636758
botdopalmeiras,1316931241606860800,2020-10-19 22:09:49.644183
botdopalmeiras,1316566191415099393,2020-10-19 22:10:04.651659
botdopalmeiras,1318373113378295808,2020-10-19 23:27:57.634785
botdopalmeiras,1319078216259260416,2020-10-21 22:08:51.095372
botdopalmeiras,1316929984557187074,2020-10-21 22:08:51.095372
botdopalmeiras,1319078216259260416,2020-10-22 23:21:49.528223
botdopalmeiras,1318373113378295808,2020-10-22 23:22:06.730647
botdopalmeiras,1319769051489599490,2020-10-23 19:34:10.490941
botdopalmeiras,1319769557154877442,2020-10-23 19:36:04.615527
botdopalmeiras,1321244543359078400,2020-10-27 21:17:17.262410
